Tissue_cell_type_name	Developmental_stage	Organ_system	Specific_tissue_name	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID
NeonatalAdrenalGland_Adrenal gland inflammatory cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Adrenal gland inflammatory cell	Inflammatory cell	CL:0009002	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Dendritic cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Dendritic cell	Dendritic cell	CL:0000451	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Endothelial cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Endothelial cell	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Endothelial cell (APC)	Neonatal	Endocrine system	NeonatalAdrenalGland	Endothelial cell (APC)	Endothelial cell	CL:0000115	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Erythroid cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Erythroid cell	Erythroid lineage cell	CL:0000764	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Fasciculata cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Fasciculata cell	Type II cell of adrenal cortex	CL:0002136	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Macrophage	Neonatal	Endocrine system	NeonatalAdrenalGland	Macrophage	Macrophage	CL:0000235	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Monocyte	Neonatal	Endocrine system	NeonatalAdrenalGland	Monocyte	Monocyte	CL:0000576	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_Smooth muscle cell	Neonatal	Endocrine system	NeonatalAdrenalGland	Smooth muscle cell	Smooth muscle cell	CL:0000192	Adrenal gland	UBERON:0002369
NeonatalAdrenalGland_T cell	Neonatal	Endocrine system	NeonatalAdrenalGland	T cell	T cell	CL:0000084	Adrenal gland	UBERON:0002369
Placenta_Epithelial cell	Adult	Reproductive system	Placenta	Epithelial cell	Epithelial cell	CL:0000066	Placenta	UBERON:0001987
Placenta_Erythroid cell	Adult	Reproductive system	Placenta	Erythroid cell	Erythroid lineage cell	CL:0000764	Placenta	UBERON:0001987
Placenta_Fetal stromal cell	Adult	Reproductive system	Placenta	Fetal stromal cell	Stromal cell	CL:0000499	Placenta	UBERON:0001987
Placenta_Fibroblast	Adult	Reproductive system	Placenta	Fibroblast	Fibroblast	CL:0000057	Placenta	UBERON:0001987
Placenta_Macrophage	Adult	Reproductive system	Placenta	Macrophage	Macrophage	CL:0000235	Placenta	UBERON:0001987
Placenta_Smooth muscle cell	Adult	Reproductive system	Placenta	Smooth muscle cell	Smooth muscle cell	CL:0000192	Placenta	UBERON:0001987
Placenta_Stromal cell	Adult	Reproductive system	Placenta	Stromal cell	Stromal cell	CL:0000499	Placenta	UBERON:0001987
Segerstolpe_2016_PancreaticIslets_acinar cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264
Segerstolpe_2016_PancreaticIslets_beta cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	beta cell	Type B pancreatic cell	CL:0000169	Pancreas	UBERON:0001264
Segerstolpe_2016_PancreaticIslets_pancreatic A cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic A cell	Pancreatic A cell	CL:0000171	Pancreas	UBERON:0001264
Segerstolpe_2016_PancreaticIslets_pancreatic D cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic D cell	Pancreatic D cell	CL:0000173	Pancreas	UBERON:0001264
Segerstolpe_2016_PancreaticIslets_pancreatic ductal cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic ductal cell	Pancreatic ductal cell	CL:0002079	Pancreas	UBERON:0001264
Segerstolpe_2016_PancreaticIslets_pancreatic PP cell	Adult	Digestive system	Segerstolpe_2016_PancreaticIslets	pancreatic PP cell	Pancreatic PP cell	CL:0002275	Pancreas	UBERON:0001264
TS_Bladder_b cell	Adult	Urinary system	TS_Bladder	b cell	B cell	CL:0000236	Bladder organ	UBERON:0018707
TS_Bladder_bladder urothelial cell	Adult	Urinary system	TS_Bladder	bladder urothelial cell	Urothelial cell	CL:0000731	Bladder organ	UBERON:0018707
TS_Bladder_capillary endothelial cell	Adult	Urinary system	TS_Bladder	capillary endothelial cell	Capillary endothelial cell	CL:0002144	Bladder organ	UBERON:0018707
TS_Bladder_endothelial cell of lymphatic vessel	Adult	Urinary system	TS_Bladder	endothelial cell of lymphatic vessel	Endothelial cell	CL:0000115	Bladder organ	UBERON:0018707
TS_Bladder_fibroblast	Adult	Urinary system	TS_Bladder	fibroblast	Fibroblast	CL:0000057	Bladder organ	UBERON:0018707
TS_Bladder_macrophage	Adult	Urinary system	TS_Bladder	macrophage	Macrophage	CL:0000235	Bladder organ	UBERON:0018707
TS_Bladder_mast cell	Adult	Urinary system	TS_Bladder	mast cell	Mast cell	CL:0000097	Bladder organ	UBERON:0018707
TS_Bladder_myofibroblast cell	Adult	Urinary system	TS_Bladder	myofibroblast cell	Myofibroblast cell	CL:0000186	Bladder organ	UBERON:0018707
TS_Bladder_nk cell	Adult	Urinary system	TS_Bladder	nk cell	Natural killer cell	CL:0000623	Bladder organ	UBERON:0018707
TS_Bladder_pericyte cell	Adult	Urinary system	TS_Bladder	pericyte cell	Pericyte cell	CL:0000669	Bladder organ	UBERON:0018707
TS_Bladder_plasma cell	Adult	Urinary system	TS_Bladder	plasma cell	Plasma cell	CL:0000786	Bladder organ	UBERON:0018707
TS_Bladder_smooth muscle cell	Adult	Urinary system	TS_Bladder	smooth muscle cell	Smooth muscle cell	CL:0000192	Bladder organ	UBERON:0018707
TS_Bladder_t cell	Adult	Urinary system	TS_Bladder	t cell	T cell	CL:0000084	Bladder organ	UBERON:0018707
TS_Bladder_vein endothelial cell	Adult	Urinary system	TS_Bladder	vein endothelial cell	Endothelial cell	CL:0000115	Bladder organ	UBERON:0018707
TS_Blood_alpha-beta t cell	Adult	Lymphatic system	TS_Blood	alpha-beta t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_cd4-positive, alpha-beta memory t cell	Adult	Lymphatic system	TS_Blood	cd4-positive, alpha-beta memory t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_cd4-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Blood	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_cd8-positive, alpha-beta cytokine secreting effector t cell	Adult	Lymphatic system	TS_Blood	cd8-positive, alpha-beta cytokine secreting effector t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Blood	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_classical monocyte	Adult	Lymphatic system	TS_Blood	classical monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178
TS_Blood_erythrocyte	Adult	Lymphatic system	TS_Blood	erythrocyte	Erythrocyte	CL:0000232	Blood	UBERON:0000178
TS_Blood_hematopoietic stem cell	Adult	Lymphatic system	TS_Blood	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Blood	UBERON:0000178
TS_Blood_macrophage	Adult	Lymphatic system	TS_Blood	macrophage	Macrophage	CL:0000235	Blood	UBERON:0000178
TS_Blood_memory b cell	Adult	Lymphatic system	TS_Blood	memory b cell	B cell	CL:0000236	Blood	UBERON:0000178
TS_Blood_monocyte	Adult	Lymphatic system	TS_Blood	monocyte	Monocyte	CL:0000576	Blood	UBERON:0000178
TS_Blood_naive b cell	Adult	Lymphatic system	TS_Blood	naive b cell	B cell	CL:0000236	Blood	UBERON:0000178
TS_Blood_naive thymus-derived cd4-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Blood	naive thymus-derived cd4-positive, alpha-beta t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Blood_neutrophil	Adult	Lymphatic system	TS_Blood	neutrophil	Neutrophil	CL:0000775	Blood	UBERON:0000178
TS_Blood_nk cell	Adult	Lymphatic system	TS_Blood	nk cell	Natural killer cell	CL:0000623	Blood	UBERON:0000178
TS_Blood_plasma cell	Adult	Lymphatic system	TS_Blood	plasma cell	Plasma cell	CL:0000786	Blood	UBERON:0000178
TS_Blood_platelet	Adult	Lymphatic system	TS_Blood	platelet	Platelet	CL:0000233	Blood	UBERON:0000178
TS_Blood_type i nk t cell	Adult	Lymphatic system	TS_Blood	type i nk t cell	T cell	CL:0000084	Blood	UBERON:0000178
TS_Bone_Marrow_cd24 neutrophil	Adult	Lymphatic system	TS_Bone_Marrow	cd24 neutrophil	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371
TS_Bone_Marrow_cd4-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Bone_Marrow	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Bone marrow	UBERON:0002371
TS_Bone_Marrow_cd8-positive, alpha-beta t cell	Adult	Lymphatic system	TS_Bone_Marrow	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Bone marrow	UBERON:0002371
TS_Bone_Marrow_erythrocyte	Adult	Lymphatic system	TS_Bone_Marrow	erythrocyte	Erythrocyte	CL:0000232	Bone marrow	UBERON:0002371
TS_Bone_Marrow_erythroid progenitor	Adult	Lymphatic system	TS_Bone_Marrow	erythroid progenitor	Erythroid progenitor cell	CL:0000038	Bone marrow	UBERON:0002371
TS_Bone_Marrow_granulocyte	Adult	Lymphatic system	TS_Bone_Marrow	granulocyte	Granulocyte	CL:0000094	Bone marrow	UBERON:0002371
TS_Bone_Marrow_hematopoietic stem cell	Adult	Lymphatic system	TS_Bone_Marrow	hematopoietic stem cell	Hematopoietic stem cell	CL:0000037	Bone marrow	UBERON:0002371
TS_Bone_Marrow_macrophage	Adult	Lymphatic system	TS_Bone_Marrow	macrophage	Macrophage	CL:0000235	Bone marrow	UBERON:0002371
TS_Bone_Marrow_memory b cell	Adult	Lymphatic system	TS_Bone_Marrow	memory b cell	B cell	CL:0000236	Bone marrow	UBERON:0002371
TS_Bone_Marrow_monocyte	Adult	Lymphatic system	TS_Bone_Marrow	monocyte	Monocyte	CL:0000576	Bone marrow	UBERON:0002371
TS_Bone_Marrow_myeloid progenitor	Adult	Lymphatic system	TS_Bone_Marrow	myeloid progenitor	Myeloid cell	CL:0000763	Bone marrow	UBERON:0002371
TS_Bone_Marrow_naive b cell	Adult	Lymphatic system	TS_Bone_Marrow	naive b cell	B cell	CL:0000236	Bone marrow	UBERON:0002371
TS_Bone_Marrow_nampt neutrophil	Adult	Lymphatic system	TS_Bone_Marrow	nampt neutrophil	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371
TS_Bone_Marrow_neutrophil	Adult	Lymphatic system	TS_Bone_Marrow	neutrophil	Neutrophil	CL:0000775	Bone marrow	UBERON:0002371
TS_Bone_Marrow_nk cell	Adult	Lymphatic system	TS_Bone_Marrow	nk cell	Natural killer cell	CL:0000623	Bone marrow	UBERON:0002371
TS_Bone_Marrow_plasma cell	Adult	Lymphatic system	TS_Bone_Marrow	plasma cell	Plasma cell	CL:0000786	Bone marrow	UBERON:0002371
TS_Eye_adipocyte	Adult	Sensory system	TS_Eye	adipocyte	Epicardial adipocyte	CL:1000309	Eye	UBERON:0000970
TS_Eye_b cell	Adult	Sensory system	TS_Eye	b cell	B cell	CL:0000236	Eye	UBERON:0000970
TS_Eye_conjunctival epithelial cell	Adult	Sensory system	TS_Eye	conjunctival epithelial cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970
TS_Eye_corneal epithelial cell	Adult	Sensory system	TS_Eye	corneal epithelial cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970
TS_Eye_corneal keratocyte	Adult	Sensory system	TS_Eye	corneal keratocyte	Fibroblast	CL:0000057	Eye	UBERON:0000970
TS_Eye_dendritic cell	Adult	Sensory system	TS_Eye	dendritic cell	Dendritic cell	CL:0000451	Eye	UBERON:0000970
TS_Eye_endothelial cell	Adult	Sensory system	TS_Eye	endothelial cell	Endothelial cell	CL:0000115	Eye	UBERON:0000970
TS_Eye_epithelial cell of lacrimal sac	Adult	Sensory system	TS_Eye	epithelial cell of lacrimal sac	Epithelial cell	CL:0000066	Eye	UBERON:0000970
TS_Eye_erythroid lineage cell	Adult	Sensory system	TS_Eye	erythroid lineage cell	Erythroid lineage cell	CL:0000764	Eye	UBERON:0000970
TS_Eye_eye photoreceptor cell	Adult	Sensory system	TS_Eye	eye photoreceptor cell	Photoreceptor cell	CL:0000210	Eye	UBERON:0000970
TS_Eye_fibroblast	Adult	Sensory system	TS_Eye	fibroblast	Fibroblast	CL:0000057	Eye	UBERON:0000970
TS_Eye_lacrimal gland functional unit cell	Adult	Sensory system	TS_Eye	lacrimal gland functional unit cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970
TS_Eye_limbal stem cell	Adult	Sensory system	TS_Eye	limbal stem cell	Stem cell	CL:0000034	Eye	UBERON:0000970
TS_Eye_limbal stromal cell	Adult	Sensory system	TS_Eye	limbal stromal cell	Stromal cell	CL:0000499	Eye	UBERON:0000970
TS_Eye_macrophage	Adult	Sensory system	TS_Eye	macrophage	Macrophage	CL:0000235	Eye	UBERON:0000970
TS_Eye_melanocyte	Adult	Sensory system	TS_Eye	melanocyte	Melanocyte	CL:0000148	Eye	UBERON:0000970
TS_Eye_microglial cell	Adult	Sensory system	TS_Eye	microglial cell	Microglial cell	CL:0000129	Eye	UBERON:0000970
TS_Eye_monocyte	Adult	Sensory system	TS_Eye	monocyte	Monocyte	CL:0000576	Eye	UBERON:0000970
TS_Eye_muller cell	Adult	Sensory system	TS_Eye	muller cell	Mueller cell	CL:0000636	Eye	UBERON:0000970
TS_Eye_ocular surface cell	Adult	Sensory system	TS_Eye	ocular surface cell	Epithelial cell	CL:0000066	Eye	UBERON:0000970
TS_Eye_plasma cell	Adult	Sensory system	TS_Eye	plasma cell	Plasma cell	CL:0000786	Eye	UBERON:0000970
TS_Eye_radial glial cell	Adult	Sensory system	TS_Eye	radial glial cell	Glial cell	CL:0000125	Eye	UBERON:0000970
TS_Eye_retinal bipolar neuron	Adult	Sensory system	TS_Eye	retinal bipolar neuron	Bipolar neuron	CL:0000103	Eye	UBERON:0000970
TS_Eye_retinal blood vessel endothelial cell	Adult	Sensory system	TS_Eye	retinal blood vessel endothelial cell	Endothelial cell	CL:0000115	Eye	UBERON:0000970
TS_Eye_retinal pigment epithelial cell	Adult	Sensory system	TS_Eye	retinal pigment epithelial cell	Retinal pigment epithelial cell	CL:0002586	Eye	UBERON:0000970
TS_Eye_t cell	Adult	Sensory system	TS_Eye	t cell	T cell	CL:0000084	Eye	UBERON:0000970
TS_Fat_endothelial cell	Adult	Integumentary system	TS_Fat	endothelial cell	Endothelial cell	CL:0000115	Perirenal fat	UBERON:0005406
TS_Fat_fibroblast	Adult	Integumentary system	TS_Fat	fibroblast	Fibroblast	CL:0000057	Perirenal fat	UBERON:0005406
TS_Fat_leucocyte	Adult	Integumentary system	TS_Fat	leucocyte	Leukocyte	CL:0000738	Perirenal fat	UBERON:0005406
TS_Fat_macrophage	Adult	Integumentary system	TS_Fat	macrophage	Macrophage	CL:0000235	Perirenal fat	UBERON:0005406
TS_Fat_mesenchymal stem cell	Adult	Integumentary system	TS_Fat	mesenchymal stem cell	Mesenchymal stem cell	CL:0000134	Perirenal fat	UBERON:0005406
TS_Fat_myofibroblast cell	Adult	Integumentary system	TS_Fat	myofibroblast cell	Myofibroblast cell	CL:0000186	Perirenal fat	UBERON:0005406
TS_Fat_neutrophil	Adult	Integumentary system	TS_Fat	neutrophil	Neutrophil	CL:0000775	Perirenal fat	UBERON:0005406
TS_Fat_nk cell	Adult	Integumentary system	TS_Fat	nk cell	Natural killer cell	CL:0000623	Perirenal fat	UBERON:0005406
TS_Fat_t cell	Adult	Integumentary system	TS_Fat	t cell	T cell	CL:0000084	Perirenal fat	UBERON:0005406
TS_Heart_cardiac endothelial cell	Adult	Cardiovascular system	TS_Heart	cardiac endothelial cell	Endothelial cell	CL:0000115	Heart	UBERON:0000948
TS_Heart_cardiac muscle cell	Adult	Cardiovascular system	TS_Heart	cardiac muscle cell	Muscle cell	CL:0000187	Heart	UBERON:0000948
TS_Heart_fibroblast of cardiac tissue	Adult	Cardiovascular system	TS_Heart	fibroblast of cardiac tissue	Fibroblast	CL:0000057	Heart	UBERON:0000948
TS_Heart_hepatocyte	Adult	Cardiovascular system	TS_Heart	hepatocyte	Hepatocyte	CL:0000182	Heart	UBERON:0000948
TS_Heart_macrophage	Adult	Cardiovascular system	TS_Heart	macrophage	Macrophage	CL:0000235	Heart	UBERON:0000948
TS_Heart_smooth muscle cell	Adult	Cardiovascular system	TS_Heart	smooth muscle cell	Smooth muscle cell	CL:0000192	Heart	UBERON:0000948
TS_Kidney_b cell	Adult	Urinary system	TS_Kidney	b cell	B cell	CL:0000236	Kidney	UBERON:0002113
TS_Kidney_cd4-positive helper t cell	Adult	Urinary system	TS_Kidney	cd4-positive helper t cell	T cell	CL:0000084	Kidney	UBERON:0002113
TS_Kidney_cd8-positive, alpha-beta t cell	Adult	Urinary system	TS_Kidney	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Kidney	UBERON:0002113
TS_Kidney_endothelial cell	Adult	Urinary system	TS_Kidney	endothelial cell	Endothelial cell	CL:0000115	Kidney	UBERON:0002113
TS_Kidney_kidney epithelial cell	Adult	Urinary system	TS_Kidney	kidney epithelial cell	Epithelial cell	CL:0000066	Kidney	UBERON:0002113
TS_Kidney_macrophage	Adult	Urinary system	TS_Kidney	macrophage	Macrophage	CL:0000235	Kidney	UBERON:0002113
TS_Kidney_nk cell	Adult	Urinary system	TS_Kidney	nk cell	Natural killer cell	CL:0000623	Kidney	UBERON:0002113
TS_Large_Intestine_b cell	Adult	Digestive system	TS_Large_Intestine	b cell	B cell	CL:0000236	Large intestine	UBERON:0000059
TS_Large_Intestine_cd4-positive, alpha-beta t cell	Adult	Digestive system	TS_Large_Intestine	cd4-positive, alpha-beta t cell	T cell	CL:0000084	Large intestine	UBERON:0000059
TS_Large_Intestine_cd8-positive, alpha-beta t cell	Adult	Digestive system	TS_Large_Intestine	cd8-positive, alpha-beta t cell	T cell	CL:0000084	Large intestine	UBERON:0000059
TS_Large_Intestine_enterocyte of epithelium of large intestine	Adult	Digestive system	TS_Large_Intestine	enterocyte of epithelium of large intestine	Enterocyte	CL:0000584	Large intestine	UBERON:0000059
TS_Large_Intestine_fibroblast	Adult	Digestive system	TS_Large_Intestine	fibroblast	Fibroblast	CL:0000057	Large intestine	UBERON:0000059
TS_Large_Intestine_goblet cell	Adult	Digestive system	TS_Large_Intestine	goblet cell	Goblet cell	CL:0000160	Large intestine	UBERON:0000059
TS_Large_Intestine_gut endothelial cell	Adult	Digestive system	TS_Large_Intestine	gut endothelial cell	Endothelial cell	CL:0000115	Large intestine	UBERON:0000059
TS_Large_Intestine_immature enterocyte	Adult	Digestive system	TS_Large_Intestine	immature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059
TS_Large_Intestine_intestinal crypt stem cell	Adult	Digestive system	TS_Large_Intestine	intestinal crypt stem cell	Intestinal crypt stem cell	CL:0002250	Large intestine	UBERON:0000059
TS_Large_Intestine_intestinal crypt stem cell of large intestine	Adult	Digestive system	TS_Large_Intestine	intestinal crypt stem cell of large intestine	Intestinal crypt stem cell	CL:0002250	Large intestine	UBERON:0000059
TS_Large_Intestine_intestinal enteroendocrine cell	Adult	Digestive system	TS_Large_Intestine	intestinal enteroendocrine cell	Endocrine cell	CL:0000163	Large intestine	UBERON:0000059
TS_Large_Intestine_intestinal tuft cell	Adult	Digestive system	TS_Large_Intestine	intestinal tuft cell	Intestinal tuft cell	CL:0019032	Large intestine	UBERON:0000059
TS_Large_Intestine_large intestine goblet cell	Adult	Digestive system	TS_Large_Intestine	large intestine goblet cell	Goblet cell	CL:0000160	Large intestine	UBERON:0000059
TS_Large_Intestine_mast cell	Adult	Digestive system	TS_Large_Intestine	mast cell	Mast cell	CL:0000097	Large intestine	UBERON:0000059
TS_Large_Intestine_mature enterocyte	Adult	Digestive system	TS_Large_Intestine	mature enterocyte	Enterocyte	CL:0000584	Large intestine	UBERON:0000059
TS_Large_Intestine_monocyte	Adult	Digestive system	TS_Large_Intestine	monocyte	Monocyte	CL:0000576	Large intestine	UBERON:0000059
TS_Large_Intestine_paneth cell of epithelium of large intestine	Adult	Digestive system	TS_Large_Intestine	paneth cell of epithelium of large intestine	Paneth cell	CL:0000510	Large intestine	UBERON:0000059
TS_Large_Intestine_plasma cell	Adult	Digestive system	TS_Large_Intestine	plasma cell	Plasma cell	CL:0000786	Large intestine	UBERON:0000059
TS_Large_Intestine_transit amplifying cell of large intestine	Adult	Digestive system	TS_Large_Intestine	transit amplifying cell of large intestine	Transit amplifying cell	CL:0009010	Large intestine	UBERON:0000059
TS_Liver_endothelial cell	Adult	Digestive system	TS_Liver	endothelial cell	Endothelial cell	CL:0000115	Liver	UBERON:0002107
TS_Liver_endothelial cell of hepatic sinusoid	Adult	Digestive system	TS_Liver	endothelial cell of hepatic sinusoid	Endothelial cell	CL:0000115	Liver	UBERON:0002107
TS_Liver_erythrocyte	Adult	Digestive system	TS_Liver	erythrocyte	Erythrocyte	CL:0000232	Liver	UBERON:0002107
TS_Liver_fibroblast	Adult	Digestive system	TS_Liver	fibroblast	Fibroblast	CL:0000057	Liver	UBERON:0002107
TS_Liver_hepatocyte	Adult	Digestive system	TS_Liver	hepatocyte	Hepatocyte	CL:0000182	Liver	UBERON:0002107
TS_Liver_intrahepatic cholangiocyte	Adult	Digestive system	TS_Liver	intrahepatic cholangiocyte	Intrahepatic cholangiocyte	CL:0002538	Liver	UBERON:0002107
TS_Liver_liver dendritic cell	Adult	Digestive system	TS_Liver	liver dendritic cell	Dendritic cell	CL:0000451	Liver	UBERON:0002107
TS_Liver_macrophage	Adult	Digestive system	TS_Liver	macrophage	Macrophage	CL:0000235	Liver	UBERON:0002107
TS_Liver_monocyte	Adult	Digestive system	TS_Liver	monocyte	Monocyte	CL:0000576	Liver	UBERON:0002107
TS_Liver_neutrophil	Adult	Digestive system	TS_Liver	neutrophil	Neutrophil	CL:0000775	Liver	UBERON:0002107
TS_Liver_nk cell	Adult	Digestive system	TS_Liver	nk cell	Natural killer cell	CL:0000623	Liver	UBERON:0002107
TS_Liver_plasma cell	Adult	Digestive system	TS_Liver	plasma cell	Plasma cell	CL:0000786	Liver	UBERON:0002107
TS_Liver_t cell	Adult	Digestive system	TS_Liver	t cell	T cell	CL:0000084	Liver	UBERON:0002107
TS_Lung_adventitial cell	Adult	Respiratory system	TS_Lung	adventitial cell	Adventitial cell	CL:0002503	Lung	UBERON:0002048
TS_Lung_alveolar fibroblast	Adult	Respiratory system	TS_Lung	alveolar fibroblast	Fibroblast	CL:0000057	Lung	UBERON:0002048
TS_Lung_b cell	Adult	Respiratory system	TS_Lung	b cell	B cell	CL:0000236	Lung	UBERON:0002048
TS_Lung_basal cell	Adult	Respiratory system	TS_Lung	basal cell	Basal cell	CL:0000646	Lung	UBERON:0002048
TS_Lung_basophil	Adult	Respiratory system	TS_Lung	basophil	Basophil	CL:0000767	Lung	UBERON:0002048
TS_Lung_bronchial smooth muscle cell	Adult	Respiratory system	TS_Lung	bronchial smooth muscle cell	Smooth muscle cell	CL:0000192	Lung	UBERON:0002048
